File name	Line	Function	Duration[ms]	Explored nodes
D:\VisualStudio\Git\LoanManagement\Authentication\Migrations\20200825045003_test.cs	24	_Authentication.Migrations.test.Down$Microsoft.EntityFrameworkCore.Migrations.MigrationBuilder$	0	3
D:\VisualStudio\Git\LoanManagement\Authentication\Migrations\20200827062559_initial2.cs	6	_Authentication.Migrations.initial2.Up$Microsoft.EntityFrameworkCore.Migrations.MigrationBuilder$	0	2
D:\VisualStudio\Git\LoanManagement\Authentication\Migrations\20200827062559_initial2.cs	11	_Authentication.Migrations.initial2.Down$Microsoft.EntityFrameworkCore.Migrations.MigrationBuilder$	0	2
D:\VisualStudio\Git\LoanManagement\Authentication\Controllers\authcontroller.cs	13	_Authentication.Controllers.authcontroller.Get$$	0	2
D:\VisualStudio\Git\LoanManagement\Authentication\Controllers\authcontroller.cs	22	_Authentication.Controllers.authcontroller.Get$int$	0	2
D:\VisualStudio\Git\LoanManagement\Authentication\Controllers\authcontroller.cs	29	_Authentication.Controllers.authcontroller.Post$string$	0	2
D:\VisualStudio\Git\LoanManagement\Authentication\Controllers\authcontroller.cs	35	_Authentication.Controllers.authcontroller.Put$int.string$	0	2
D:\VisualStudio\Git\LoanManagement\Authentication\Controllers\authcontroller.cs	41	_Authentication.Controllers.authcontroller.Delete$int$	0	2
D:\VisualStudio\Git\LoanManagement\Authentication\Model\BasicAuthenticationAttribute.cs	29	_Authentication.Model.BasicAuthenticationAttribute.OnAuthorization$System.Web.Http.Controllers.HttpActionContext$	0	13
D:\VisualStudio\Git\LoanManagement\Authentication\Controllers\LoginController.cs	27	_JWTAuthenticationExample.Controllers.LoginController.Login$Authentication.Model.User$	0	5
D:\VisualStudio\Git\LoanManagement\Authentication\Controllers\LoginController.cs	51	_JWTAuthenticationExample.Controllers.LoginController.GenerateJWTToken$Authentication.Model.User$	0	2
D:\VisualStudio\Git\LoanManagement\Authentication\Model\MyAuthorizeAttribute.cs	25	_Authentication.Model.MyAuthorizeAttribute.HandleUnauthorizedRequest$System.Web.Http.Controllers.HttpActionContext$	0	6
D:\VisualStudio\Git\LoanManagement\Authentication\Program.cs	13	_Authentication.Program.Main$string$$$	0	3
D:\VisualStudio\Git\LoanManagement\Authentication\Model\Roles.cs	10	_Authentication.Model.Roles.AdminRole$$	0	2
D:\VisualStudio\Git\LoanManagement\Authentication\Model\Roles.cs	15	_Authentication.Model.Roles.UserRole$$	0	2
D:\VisualStudio\Git\LoanManagement\Authentication\Controllers\UserController.cs	10	_Authentication.Controllers.UserController.GetUserData$$	0	2
D:\VisualStudio\Git\LoanManagement\Authentication\Controllers\UserController.cs	19	_Authentication.Controllers.UserController.GetAdminData$$	0	2
